종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2015_3,72679000.0,21506,-,-,-,-,-,33700,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2015_4,88261000.0,22139,"29,677,906,000,000","8,290,203,000,000","21,387,703,000,000","18,797,998,000,000","4,323,595,000,000",30550,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2016_1,39050000.0,21622,"29,797,655,000,000","8,332,966,000,000","21,464,689,000,000","3,655,717,000,000","448,026,000,000",28700,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2016_2,53761000.0,22184,"29,329,452,000,000","7,628,630,000,000","21,700,822,000,000","3,940,927,000,000","286,132,000,000",32000,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2016_3,74019000.0,22157,"29,166,995,000,000","7,162,415,000,000","22,004,580,000,000","4,243,645,000,000","597,751,000,000",39750,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2016_4,93209500.0,22254,"32,216,026,000,000","8,192,496,000,000","24,023,530,000,000","17,197,975,000,000","2,960,483,000,000",44750,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2017_1,25083000.0,22624,"34,319,500,000,000","9,150,581,000,000","25,168,919,000,000","6,289,518,000,000","1,898,678,000,000",50800,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2017_2,41429000.0,22575,"37,501,577,000,000","9,737,793,000,000","27,763,784,000,000","6,692,278,000,000","2,468,509,000,000",67400,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2017_3,62098500.0,23278,"40,730,453,000,000","9,825,955,000,000","30,904,498,000,000","8,100,085,000,000","3,055,529,000,000",86300,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2017_4,82027500.0,23412,"45,418,464,000,000","11,597,545,000,000","33,820,919,000,000","30,109,434,000,000","10,642,219,000,000",77300,"728,002,365"
