name,symbol,stock_code,type,type_code,WICS,WICS_code,time,assets,dept,equity,income,real_income,price,stock_count,total_value
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_2,4.40E+11,61226518058,3.78E+11,25917137182,12165483873,12629,16800000,2.12167E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_4,4.03E+11,55157747142,3.48E+11,1.08E+11,73000608698,11315,16800000,1.90092E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_1,4.29E+11,79651891092,3.49E+11,33846192789,2458443630,14851,16800000,2.49497E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_2,4.26E+11,86562670045,3.39E+11,22189663556,86740912,16670,16800000,2.80056E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_3,4.37E+11,94688416673,3.43E+11,24388597516,3026251015,16342,16800000,2.74546E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_4,4.53E+11,1.11E+11,3.42E+11,1.10E+11,885023302,25460,16800000,4.27728E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_1,4.77E+11,1.38E+11,3.39E+11,35096049106,4460290570,26167,16800000,4.39606E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_2,4.35E+11,93274143187,3.42E+11,27772908493,1479229159,23591,16800000,3.96329E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_3,4.24E+11,99579164701,3.25E+11,31791172314,7428772797,15609,16800000,2.62231E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_4,3.51E+11,75243840838,2.76E+11,1.27E+11,48528176488,16847,16800000,2.8303E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_1,3.40E+11,81843611345,2.58E+11,26686387052,7220405416,25662,16800000,4.31122E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_2,3.21E+11,63177892588,2.58E+11,33873227472,110126259,16872,16800000,2.8345E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_3,3.18E+11,59666625243,2.58E+11,28946166901,480367894,15079,16800000,2.53327E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_4,2.96E+11,61598029106,2.35E+11,1.14E+11,28698789113,15230,16800000,2.55864E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_1,3.08E+11,71784661579,2.36E+11,30820310003,7900033657,10002,16800000,1.68034E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_2,3.09E+11,71870991696,2.38E+11,25077924329,5222047338,20257,16800000,3.40318E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_3,3.08E+11,74501307386,2.34E+11,23729357557,11515753485,18691,16800000,3.14009E+11
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_4,3.23E+11,67350352265,2.56E+11,1.26E+11,18361927120,19625,16800000,3.297E+11
셀트리온제약,541349,68760,제약,66,제약,G352020,2015_4,4.67E+11,2.31E+11,2.36E+11,74732429050,6733913573,15201,20858172,3.17065E+11
셀트리온제약,541349,68760,제약,66,제약,G352020,2016_1,4.70E+11,1.96E+11,2.74E+11,17955591680,1405823017,14458,25120912,3.63198E+11
셀트리온제약,541349,68760,제약,66,제약,G352020,2016_2,4.77E+11,1.77E+11,3.01E+11,25907505372,151189871,20531,27438677,5.63343E+11
셀트리온제약,541349,68760,제약,66,제약,G352020,2016_3,4.84E+11,1.82E+11,3.02E+11,22123534653,1234840519,21841,27460738,5.9977E+11
셀트리온제약,541349,68760,제약,66,제약,G352020,2016_4,5.10E+11,1.65E+11,3.45E+11,1.05E+11,2915525644,21847,31655351,6.91574E+11
셀트리온제약,541349,68760,제약,66,제약,G352020,2017_1,5.01E+11,1.58E+11,3.43E+11,22164656831,1574888830,19236,33237807,6.39362E+11
셀트리온제약,541349,68760,제약,66,제약,G352020,2017_2,5.08E+11,1.64E+11,3.44E+11,33846527195,1066344084,19878,33242903,6.60802E+11
셀트리온제약,541349,68760,제약,66,제약,G352020,2017_3,5.13E+11,1.68E+11,3.45E+11,34493162544,705914830,17496,33242903,5.81618E+11
셀트리온제약,541349,68760,제약,66,제약,G352020,2017_4,5.20E+11,1.77E+11,3.43E+11,1.36E+11,2876820288,57171,33339797,1.90607E+12
셀트리온제약,541349,68760,제약,66,제약,G352020,2018_1,4.92E+11,1.69E+11,3.23E+11,27320066456,747804285,78751,34024492,2.67946E+12
셀트리온제약,541349,68760,제약,66,제약,G352020,2018_2,4.95E+11,1.76E+11,3.20E+11,34298534927,3776832336,84450,34044492,2.87506E+12
셀트리온제약,541349,68760,제약,66,제약,G352020,2018_3,4.51E+11,1.82E+11,2.69E+11,34737748317,3804277066,74267,34048507,2.52868E+12
셀트리온제약,541349,68760,제약,66,제약,G352020,2018_4,4.52E+11,1.82E+11,2.70E+11,1.47E+11,9388770745,60067,34065904,2.04624E+12
셀트리온제약,541349,68760,제약,66,제약,G352020,2019_1,4.46E+11,1.75E+11,2.70E+11,38589446896,284312488,51660,34065904,1.75984E+12
셀트리온제약,541349,68760,제약,66,제약,G352020,2019_2,4.61E+11,1.88E+11,2.73E+11,42621269467,1995354475,45120,34075861,1.5375E+12
셀트리온제약,541349,68760,제약,66,제약,G352020,2019_3,4.55E+11,1.80E+11,2.75E+11,47435556126,2049642891,33490,34089105,1.14164E+12
셀트리온제약,541349,68760,제약,66,제약,G352020,2019_4,4.71E+11,1.91E+11,2.80E+11,1.74E+11,8602167882,39075,34089105,1.33203E+12
셀트리온제약,541349,68760,제약,66,제약,G352020,2020_1,4.87E+11,2.06E+11,2.81E+11,44389290759,2227241984,66776,35795711,2.39029E+12
