종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2020_4,190000000,135,"3,739,698,458,262","1,806,768,713,483","1,932,929,744,779","1,627,596,815,280","240,406,565,499",156600,"151,809,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2015_1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2015_2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2015_3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2015_4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2016_1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2016_2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2016_3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2016_4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2017_1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2017_2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2017_3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2017_4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2018_1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2018_2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2018_3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2018_4,3984500,818,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2019_1,3888750,828,0,0,0,0,0,60100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2019_2,6042500,826,0,0,0,0,0,60000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2019_3,5076750,855,0,0,0,0,0,48750,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2019_4,4904750,860,0,0,0,0,0,53500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2020_1,10954000,866,"653,124,080,003","277,506,558,294","375,617,521,709","167,679,755,808","8,409,125,418",63000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2020_2,3694000,871,"706,845,325,452","308,407,525,420","398,437,800,032","189,943,286,226","13,991,023,309",124600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
