종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,분기,자산,부채,자본,매출액,액면가
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2016_2,1.85347E+11,1.03737E+11,81609732349,58155241864,9085
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2016_3,2.08654E+11,1.25689E+11,82964532963,70340487145,17476
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2016_4,2.02669E+11,1.15318E+11,87351067945,2.49732E+11,13258
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2017_1,2.28409E+11,1.28152E+11,1.00257E+11,68238454170,14880
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2017_2,2.60966E+11,1.53931E+11,1.07035E+11,1.00277E+11,20674
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2017_3,2.82192E+11,1.67448E+11,1.14744E+11,1.15763E+11,33144
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2017_4,2.65476E+11,1.42171E+11,1.23305E+11,4.0302E+11,40330
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2018_1,2.82774E+11,1.55511E+11,1.27263E+11,1.22293E+11,36807
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2018_2,3.15618E+11,1.80283E+11,1.35335E+11,1.34301E+11,46820
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2018_3,3.38214E+11,1.97109E+11,1.41105E+11,1.30004E+11,40422
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2018_4,3.30982E+11,1.87992E+11,1.42989E+11,5.05664E+11,34211
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2019_1,3.34173E+11,1.94983E+11,1.3919E+11,87719971518,26840
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2019_2,3.33959E+11,1.9694E+11,1.37019E+11,69197638051,25866
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2019_3,3.63067E+11,2.28282E+11,1.34785E+11,71388815530,20210
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2019_4,4.16201E+11,2.84381E+11,1.31821E+11,3.13264E+11,20535
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2020_1,4.33039E+11,2.99279E+11,1.3376E+11,1.02045E+11,16595
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2020_2,4.29486E+11,2.95169E+11,1.34317E+11,69058638912,30039
