name,symbol,stock_code,type,type_code,WICS,WICS_code,time,assets,dept,equity,income,real_income,price,stock_count,total_value
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2019_1,6.51E+13,1.80E+13,4.72E+13,6.77E+12,1.10E+12,75600,728002365,5.50E+13
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2019_2,6.30E+13,1.53E+13,4.77E+13,6.45E+12,5.37E+11,71000,728002365,5.17E+13
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2019_3,6.37E+13,1.54E+13,4.83E+13,6.84E+12,4.95E+11,80600,728002365,5.87E+13
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2019_4,6.48E+13,1.68E+13,4.79E+13,2.70E+13,2.02E+12,96000,728002365,6.99E+13
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2020_1,6.71E+13,1.89E+13,4.82E+13,7.20E+12,6.49E+11,84000,728002365,6.12E+13
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2020_2,6.93E+13,1.99E+13,4.94E+13,8.61E+12,1.26E+12,86200,728002365,6.28E+13
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2020_3,6.93E+13,1.88E+13,5.05E+13,8.13E+12,1.08E+12,83000,728002365,6.04E+13
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2020_4,7.12E+13,1.93E+13,5.19E+13,3.19E+13,4.76E+12,124500,728002365,9.06E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2015_4,4.39E+12,2.12E+12,2.27E+12,3.25E+12,5.17E+11,130182,32962679,4.29E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2016_1,4.53E+12,2.14E+12,2.39E+12,9.37E+11,1.65E+11,129181,32962679,4.26E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2016_2,4.93E+12,2.29E+12,2.63E+12,9.87E+11,2.13E+11,142200,32962679,4.69E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2016_3,6.00E+12,1.77E+12,4.23E+12,1.01E+12,1.98E+11,177449,32962679,5.85E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2016_4,6.37E+12,2.24E+12,4.13E+12,4.02E+12,7.59E+11,155820,32962679,5.14E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2017_1,6.44E+12,2.17E+12,4.27E+12,1.08E+12,2.11E+11,172442,32962679,5.68E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2017_2,7.20E+12,2.25E+12,4.95E+12,1.13E+12,1.71E+11,169240,32962679,5.58E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2017_3,7.62E+12,2.48E+12,5.14E+12,1.20E+12,2.16E+11,149611,32962679,4.93E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2017_4,8.02E+12,2.71E+12,5.31E+12,4.68E+12,7.70E+11,174447,32962679,5.75E+12
