종목,symbol,stock_code,업종,type_code,WICS,WICS_code,연도,자산,부채,자본,매출액,액면가
셀트리온,413046,68270,의약품,9,제약,G352020,2019,3.89E+12,9.87E+11,2.91E+12,1.13E+12,177742
셀트리온,413046,68270,의약품,9,제약,G352020,2020,5.05E+12,1.59E+12,3.46E+12,1.85E+12,351500
포스코,155319,5490,철강및금속,11,철강,G151050,2015,8.04E+13,3.53E+13,4.51E+13,5.82E+13,167000
포스코,155319,5490,철강및금속,11,철강,G151050,2016,7.98E+13,3.39E+13,4.58E+13,5.31E+13,256500
포스코,155319,5490,철강및금속,11,철강,G151050,2017,7.90E+13,3.16E+13,4.75E+13,6.07E+13,335000
포스코,155319,5490,철강및금속,11,철강,G151050,2018,7.82E+13,3.15E+13,4.68E+13,6.50E+13,244500
포스코,155319,5490,철강및금속,11,철강,G151050,2019,7.91E+13,3.13E+13,4.78E+13,6.44E+13,236000
포스코,155319,5490,철강및금속,11,철강,G151050,2020,7.91E+13,3.14E+13,4.77E+13,5.78E+13,272500
현대모비스,164788,12330,운수장비,15,자동차부품,G251010,2015,3.78E+13,1.21E+13,2.57E+13,3.60E+13,242000
현대모비스,164788,12330,운수장비,15,자동차부품,G251010,2016,4.17E+13,1.32E+13,2.86E+13,3.83E+13,264000
현대모비스,164788,12330,운수장비,15,자동차부품,G251010,2017,4.17E+13,1.24E+13,2.94E+13,3.51E+13,262500
현대모비스,164788,12330,운수장비,15,자동차부품,G251010,2018,4.31E+13,1.24E+13,3.07E+13,3.51E+13,190500
현대모비스,164788,12330,운수장비,15,자동차부품,G251010,2019,4.66E+13,1.42E+13,3.24E+13,3.80E+13,254500
현대모비스,164788,12330,운수장비,15,자동차부품,G251010,2020,4.85E+13,1.52E+13,3.33E+13,3.66E+13,260500
삼성물산,149655,28260,유통업,16,복합기업,G201050,2015,4.24E+13,2.40E+13,1.83E+13,1.33E+13,140500
삼성물산,149655,28260,유통업,16,복합기업,G201050,2016,4.45E+13,2.34E+13,2.11E+13,2.81E+13,125500
삼성물산,149655,28260,유통업,16,복합기업,G201050,2017,4.90E+13,2.39E+13,2.52E+13,2.93E+13,125500
삼성물산,149655,28260,유통업,16,복합기업,G201050,2018,4.24E+13,1.99E+13,2.25E+13,3.12E+13,105500
삼성물산,149655,28260,유통업,16,복합기업,G201050,2019,4.59E+13,1.92E+13,2.67E+13,3.08E+13,109000
삼성물산,149655,28260,유통업,16,복합기업,G201050,2020,5.43E+13,2.14E+13,3.29E+13,3.02E+13,138500
LG전자,401731,66570,"전기,전자",13,전자제품,G453510,2015,3.63E+13,2.33E+13,1.30E+13,5.65E+13,53900
LG전자,401731,66570,"전기,전자",13,전자제품,G453510,2016,3.79E+13,2.45E+13,1.34E+13,5.54E+13,51800
LG전자,401731,66570,"전기,전자",13,전자제품,G453510,2017,4.12E+13,2.65E+13,1.47E+13,6.14E+13,106500
LG전자,401731,66570,"전기,전자",13,전자제품,G453510,2018,4.43E+13,2.80E+13,1.63E+13,6.13E+13,63300
LG전자,401731,66570,"전기,전자",13,전자제품,G453510,2019,4.49E+13,2.84E+13,1.64E+13,6.23E+13,71800
LG전자,401731,66570,"전기,전자",13,전자제품,G453510,2020,4.82E+13,3.07E+13,1.75E+13,6.33E+13,136500
SK,181712,34730,금융업,21,복합기업,G201050,2015,9.66E+13,5.66E+13,4.01E+13,3.96E+13,243000
SK,181712,34730,금융업,21,복합기업,G201050,2016,1.03E+14,6.07E+13,4.23E+13,8.36E+13,231000
SK,181712,34730,금융업,21,복합기업,G201050,2017,1.10E+14,6.40E+13,4.58E+13,9.33E+13,283000
SK,181712,34730,금융업,21,복합기업,G201050,2018,1.19E+14,6.86E+13,5.09E+13,1.02E+14,261000
SK,181712,34730,금융업,21,복합기업,G201050,2019,1.32E+14,7.98E+13,5.22E+13,9.93E+13,262500
SK,181712,34730,금융업,21,복합기업,G201050,2020,1.38E+14,8.58E+13,5.19E+13,8.18E+13,241000
SK이노베이션,631518,96770,화학,8,석유와 가스,G101020,2015,3.14E+13,1.43E+13,1.70E+13,4.84E+13,130500
SK이노베이션,631518,96770,화학,8,석유와 가스,G101020,2016,3.26E+13,1.43E+13,1.83E+13,3.95E+13,145500
SK이노베이션,631518,96770,화학,8,석유와 가스,G101020,2017,3.42E+13,1.49E+13,1.93E+13,4.63E+13,205500
SK이노베이션,631518,96770,화학,8,석유와 가스,G101020,2018,3.61E+13,1.68E+13,1.93E+13,5.45E+13,180000
SK이노베이션,631518,96770,화학,8,석유와 가스,G101020,2019,3.95E+13,2.13E+13,1.82E+13,4.99E+13,150500
SK이노베이션,631518,96770,화학,8,석유와 가스,G101020,2020,3.85E+13,2.30E+13,1.55E+13,3.42E+13,203000
LG생활건강,356370,51900,화학,8,화장품,G252065,2015,4.21E+12,2.10E+12,2.12E+12,5.33E+12,1034000
LG생활건강,356370,51900,화학,8,화장품,G252065,2016,4.50E+12,1.88E+12,2.62E+12,6.09E+12,845000
LG생활건강,356370,51900,화학,8,화장품,G252065,2017,4.78E+12,1.70E+12,3.08E+12,6.27E+12,1195000
LG생활건강,356370,51900,화학,8,화장품,G252065,2018,5.28E+12,1.68E+12,3.59E+12,6.75E+12,1106000
LG생활건강,356370,51900,화학,8,화장품,G252065,2019,6.49E+12,2.26E+12,4.24E+12,7.69E+12,1254000
LG생활건강,356370,51900,화학,8,화장품,G252065,2020,6.80E+12,1.95E+12,4.85E+12,7.84E+12,1604000
엔씨소프트,261443,36570,서비스업,26,게임엔터테인먼트,G502040,2015,2.22E+12,4.30E+11,1.79E+12,8.38E+11,213000
엔씨소프트,261443,36570,서비스업,26,게임엔터테인먼트,G502040,2016,2.36E+12,4.65E+11,1.90E+12,9.84E+11,246000
엔씨소프트,261443,36570,서비스업,26,게임엔터테인먼트,G502040,2017,3.53E+12,7.97E+11,2.73E+12,1.76E+12,448000
엔씨소프트,261443,36570,서비스업,26,게임엔터테인먼트,G502040,2018,2.94E+12,5.62E+11,2.38E+12,1.72E+12,464500
엔씨소프트,261443,36570,서비스업,26,게임엔터테인먼트,G502040,2019,3.35E+12,8.34E+11,2.51E+12,1.70E+12,542000
엔씨소프트,261443,36570,서비스업,26,게임엔터테인먼트,G502040,2020,4.08E+12,9.37E+11,3.14E+12,2.42E+12,949000
하이브,1204056,352820,서비스업,26,방송과엔터테인먼트,G502020,2020,1.92E+12,7.26E+11,1.20E+12,7.96E+11,158400
한국전력공사,159193,15760,전기가스업,17,전기 유틸리티,G551010,2015,1.75E+14,1.07E+14,6.79E+13,5.90E+13,50100
한국전력공사,159193,15760,전기가스업,17,전기 유틸리티,G551010,2016,1.78E+14,1.05E+14,7.31E+13,6.02E+13,44200
한국전력공사,159193,15760,전기가스업,17,전기 유틸리티,G551010,2017,1.82E+14,1.09E+14,7.30E+13,5.98E+13,37800
한국전력공사,159193,15760,전기가스업,17,전기 유틸리티,G551010,2018,1.85E+14,1.14E+14,7.11E+13,6.06E+13,33150
한국전력공사,159193,15760,전기가스업,17,전기 유틸리티,G551010,2019,1.98E+14,1.29E+14,6.89E+13,5.92E+13,28100
한국전력공사,159193,15760,전기가스업,17,전기 유틸리티,G551010,2020,2.03E+14,1.32E+14,7.07E+13,5.86E+13,27600
