name,symbol,stock_code,type,type_code,WICS,WICS_code,time,avg_salary,employee_num,assets,dept,equity,income,real_income,price,stock_count,total_value
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018_1,35219500,3050,8.36739E+12,2.98953E+12,5.37786E+12,1.30906E+12,1.53752E+11,156822,32962679,5.16927E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018_2,53396000,3408,8.5288E+12,2.84541E+12,5.68338E+12,1.36362E+12,2.81759E+11,153217,32962679,5.05044E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018_3,71645000,3489,9.91424E+12,4.03827E+12,5.87598E+12,1.39771E+12,68386763908,143801,32962679,4.74007E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018_4,74661500,3585,9.88119E+12,3.93205E+12,5.94914E+12,5.5869E+12,6.27902E+11,121000,164813395,1.99424E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019_1,35218000,3593,1.08961E+13,4.84764E+12,6.0485E+12,1.51086E+12,87585903290,124000,164813395,2.04369E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019_2,55170000,3570,1.14366E+13,5.167E+12,6.26957E+12,1.63028E+12,27756852975,114500,164813395,1.88711E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019_3,75216500,3580,1.18067E+13,5.3692E+12,6.43752E+12,1.66482E+12,85268053088,155000,164813395,2.55461E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019_4,81992500,3492,1.22995E+13,5.7956E+12,6.50393E+12,6.5934E+12,3.96821E+11,187500,164813395,3.09025E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020_1,39785500,3612,1.3766E+13,6.3108E+12,7.45524E+12,1.73206E+12,1.34875E+11,163500,164263395,2.68571E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020_2,60014000,3745,1.46754E+13,6.71759E+12,7.95785E+12,1.90247E+12,90682203810,268000,164263395,4.40226E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020_3,79797000,3857,1.54526E+13,8.04082E+12,7.41174E+12,1.36078E+12,2.35343E+11,297500,164263395,4.88684E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020_4,100011000,4076,1.70142E+13,8.75911E+12,8.25513E+12,5.30415E+12,8.44997E+11,291500,164263395,4.78828E+13
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2015_4,120362464,2474,3.18848E+12,6.03003E+11,2.58547E+12,9.32152E+11,78764757714,23583,60096088,1.41725E+12
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2016_1,23115186.5,2572,5.1897E+12,1.77297E+12,3.41673E+12,2.42483E+11,10949664522,20151,67439208,1.35897E+12
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2016_2,41274779.5,2627,5.21483E+12,1.70339E+12,3.51144E+12,3.76519E+11,13238886896,18686,67510942,1.26151E+12
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2016_4,72620639.5,2697,5.48412E+12,1.78117E+12,3.70294E+12,1.46423E+12,65455116983,15534,67615715,1.05034E+12
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2017_1,18818670,2692,5.49464E+12,1.74767E+12,3.74697E+12,4.43787E+11,54485548398,16759,67716172,1.13486E+12
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2017_2,36133627,2689,5.81005E+12,1.8179E+12,3.99215E+12,4.68443E+11,12502580952,20131,67781135,1.3645E+12
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2017_3,52467865.5,2629,6.4941E+12,2.04887E+12,4.44522E+12,5.15413E+11,39901788492,29504,67839099,2.00152E+12
LG화학,356361,51910,화학,8,화학,G151010,2015_4,71200000,14280,1.85787E+13,5.47521E+12,1.31035E+13,2.02066E+13,1.14853E+12,332500,66271100,2.20351E+13
LG화학,356361,51910,화학,8,화학,G151010,2016_1,19700000,14900,1.88603E+13,5.75394E+12,1.31063E+13,4.87409E+12,3.38125E+11,333500,66271100,2.21014E+13
LG화학,356361,51910,화학,8,화학,G151010,2016_2,39875000,14863,1.98261E+13,6.36235E+12,1.34638E+13,5.21923E+12,3.75484E+11,263500,66271100,1.74624E+13
LG화학,356361,51910,화학,8,화학,G151010,2016_3,52375000,15318,2.00397E+13,6.3674E+12,1.36723E+13,5.05428E+12,2.97428E+11,242000,66271100,1.60376E+13
LG화학,356361,51910,화학,8,화학,G151010,2016_4,70750000,14974,2.04871E+13,6.43609E+12,1.4051E+13,2.06593E+13,1.28099E+12,250000,66271100,1.65678E+13
