종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2020_4,-,-,798986124781 ,331668500645 ,467317624136 ,854748843876 ,46658311822 ,159900,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_1,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_2,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_3,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_4,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_1,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_2,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_3,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_4,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_1,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_2,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_3,13250000,288,-,-,-,-,-,22880,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_4,-,-,296580573490 ,21383261543 ,275197311947 ,-,14730523696 ,40200,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_1,16382500,404,322607000000 ,37414715603 ,285193000000 ,-,27833316635 ,46640,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_2,35444750,469,392105000000 ,49108952770 ,342996000000 ,-,52160553956 ,45380,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_3,44037.5,518,466576000000 ,71143916076 ,395432000000 ,-,51710520053 ,42520,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_4,-,-,712530156692 ,304504407755 ,408025748937 ,-,146446177343 ,35800,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_1,34445500,662,788742000000 ,355151000000 ,433591000000 ,-,14147362257 ,33680,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_2,46411500,714,825827000000 ,332839000000 ,492988000000 ,-,51571951761 ,42460,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_3,55260250,777,899334000000 ,354363000000 ,544971000000 ,-,43835339595 ,39780,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_4,-,-,867391014845 ,278374337593 ,589016677252 ,-,157651213701 ,37940,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_1,17689500,832,946583000000 ,294179000000 ,652404000000 ,-,48332557501 ,34780,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_2,36602500,777,991317000000 ,319362000000 ,671955000000 ,-,23626990163 ,41180,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_3,55256250,761,996861000000 ,302576000000 ,694285000000 ,-,27770698644 ,40220,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_4,-,-,897191642084 ,260280600086 ,636911041998 ,-,100853964155 ,53480,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2015_1,8589000,159,-,-,-,-,-,6795,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2015_2,16269500,164,-,-,-,-,-,5951,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2015_3,21275500,191,-,-,-,-,-,7036,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2015_4,-,-,168390495196 ,109301281483 ,59089213713 ,235128640553 ,(4999321393),9641,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2016_1,8993500,361,176066000000 ,116905000000 ,59161503865 ,48856869893 ,(1768776801),7342,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2016_2,17500000,371,185347000000 ,103737000000 ,81609732349 ,58155241864 ,2013732639 ,9085,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2016_3,27000000,396,208654000000 ,125689000000 ,82964532963 ,70340487145 ,1369782848 ,17476,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2016_4,-,-,202669010822 ,115317942877 ,87351067945 ,249732039131 ,5224613001 ,13258,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2017_1,10000000,404,228409000000 ,128152000000 ,100257000000 ,68238454170 ,4026932223 ,14880,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2017_2,19000000,423,260966000000 ,153931000000 ,107035000000 ,100277000000 ,4543641750 ,20674,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2017_3,30000000,434,282192000000 ,167448000000 ,114744000000 ,115763000000 ,7682084480 ,33144,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2017_4,-,-,265476272977 ,142171412625 ,123304860352 ,403019915789 ,20639184241 ,37594,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2018_1,12559000,445,282774000000 ,155511000000 ,127263000000 ,122293000000 ,5852711260 ,36807,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2018_2,21843500,446,315618000000 ,180283000000 ,135335000000 ,134301000000 ,6738890195 ,46820,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2018_3,31596000,463,338214000000 ,197109000000 ,141105000000 ,130004000000 ,5916846722 ,40422,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2018_4,-,-,330981611163 ,187992116545 ,142989494618 ,505664305453 ,19883670519 ,30548,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2019_1,11156000,491,334173000000 ,194983000000 ,139190000000 ,87719971518 ,(1903922490),26840,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2019_2,19504500,544,333959000000 ,196940000000 ,137019000000 ,69197638051 ,(2119036725),25866,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2019_3,29825500,590,363067000000 ,228282000000 ,134785000000 ,71388815530 ,(2000188728),20210,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2019_4,-,-,416201278724 ,284380746162 ,131820532562 ,313264234672 ,(8809230051),19005,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2020_1,12318000,560,433039000000 ,299279000000 ,133760000000 ,102045000000 ,2758537713 ,16595,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2020_2,22334500,557,429486000000 ,295169000000 ,134317000000 ,69058638912 ,597881918 ,30039,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2020_3,33404000,576,470274000000 ,257462000000 ,212811000000 ,84245947166 ,(3508898683),39721,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2020_4,-,-,466217399194 ,268611553374 ,197605845820 ,356105956054 ,(15018130143),70017,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_1,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_2,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_3,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_4,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_1,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_2,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_3,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_4,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_1,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_2,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_3,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_4,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_1,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_2,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_3,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_4,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_1,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_2,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_3,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_4,-,-,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_1,19500000,365,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_2,34500000,363,-,-,-,-,-,-,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_3,49500000,369,1167540000000 ,244005000000 ,923533000000 ,150535000000 ,26955314381 ,55400,
카카오게임즈,A293490,1137383,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_4,-,-,1309911592717 ,284532324065 ,1025379268652 ,495521347080 ,67510885873 ,46350,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_1,10750000,1066,-,-,-,-,-,17908,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_2,21000000,871,-,-,-,-,-,17781,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_3,34500000,499,-,-,-,-,-,24247,
